0;None;0;14h
1;None;0;E4h
2;None;0;12h
3;None;0;15h
4;None;0;92h
5;None;0;EDh
6;None;0;2Dh
7;None;0;2Ah
8;None;0;00h
9;None;0;C0h
10;None;0;2Eh
11;None;0;4Eh
19;None;0;2Ch
20;None;0;3Eh
21;None;0;FFh
22;None;0;DFh
23;None;0;1Fh
24;None;0;3Fh
25;None;0;C0h
26;None;0;02h
27;None;0;0Fh
28;None;0;00h
29;None;0;02h
30;None;0;0Fh
31;None;0;00h
32;None;0;02h
33;None;0;0Fh
34;None;0;00h
35;None;0;02h
36;None;0;0Fh
37;None;0;00h
38;None;0;02h
39;None;0;0Fh
40;None;0;C0h
41;None;0;01h
42;None;0;08h
43;None;0;00h
44;None;0;00h
45;None;0;00h
46;None;0;00h
47;None;0;00h
48;None;0;00h
49;None;0;00h
50;None;0;00h
51;None;0;00h
52;None;0;00h
53;None;0;00h
54;None;0;00h
138;None;0;0Fh
139;None;0;FFh
140;None;0;00h
141;None;0;00h
142;None;0;00h
143;None;0;00h
144;None;0;00h
136;None;0;40h
